Compound,TB(K),Ref.,YBP,TFP(K)Ref.,NFP,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,NFP(eq6),TFP(eq4),AD,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9
di-tert-butylsulfide,422,N,26.88,300,A,26.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.13,303,3,,,,,,,,,,
di-sec-butylsulfide,438,N,28.75,312,A,28.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.95,314,2,,,,,,,,,,
diisopentylsulfide,489,N,35.44,350,L,35.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.46,350,0,,,,,,,,,,
diallylsulfide,411,S,25.65,296,A,25.952,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.22,298,2,,,,,,,,,,
allylethylsulfide,389,F,23.33,289,L,24.801,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.82,283,6,,,,,,,,,,
allylpropylsulfide,414,L,25.98,302,A,26.961,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.4,299,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-chlorohexane,408,N,25.33,299,F,26.45,0,1,26,298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-chloroheptane,433,N,28.16,314,B,29.01,0,1,29,314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-chlorooctane,456,S,30.98,331,A,32,0,1,32,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-chlorononane,477,N,33.76,347,A,34.93,0,1,35,345,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-chlorodecane,496,A,36.45,356,A,36.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.13,359,3,,,,,,,,,,
2-chloropropane,309,A,16.26,241,B,17.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.47,241,0,,,,,,,,,,
2-chlorobutane,341,N,18.85,258,S,19.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.99,258,0,,,,,,,,,,
